ID,Name,Surname,Category,Interests,Mentor_ID,Rating
688,Ahmet,Kaya,Spor,"Fitness, Tenis, Voleybol",24699,5
689,Ahmet,Demir,Mimar,"Mimari Teori ve Eleştiri, Ulaşım ve Altyapı Tasarımı, Ofis Yapıları",26125,2
690,Fatma,Karaduman,Müzik,"Elektronik Müzik, Metal Müzik, Rap",23428,2
691,Veli,Kılıç,Hukuk,"Fikri Mülkiyet Hukuku, İş Hukuku ve İşçi Hakları, Ticaret ve Şirket Hukuku",38415,3
692,Yusuf,Yılmaz,Müzik,"Pop Müzik, Elektronik Müzik, Klasik Müzik",23703,1
693,Fatma,Demir,Teknoloji,"Siber Güvenlik, İnternet of Things (IoT), Veri Bilimi ve Analitik",36624,2
694,Emre,Yılmaz,Mimar,"Peyzaj Tasarımı, Yapı Teknolojileri ve Malzemeler, Mimari Teori ve Eleştiri",28075,3
695,Seda,Kaya,Yemek,"Moleküler Gastronomi, İtalyan Mutfağı, Fransız Mutfağı",22230,2
696,Seda,Yıldız,Hukuk,"Anayasa Hukuku ve İnsan Hakları, Medeni Hukuk ve Aile Hukuku, Ticaret ve Şirket Hukuku",36854,3
697,Yusuf,Karaduman,Edebiyat,"Çocuk Edebiyatı, Bilim Kurgu, Tiyatro",34798,1
698,Yusuf,Karaduman,Sağlık,"Diyet, Yoga, Psikoloji",38738,5
699,Yusuf,Kılıç,Müzik,"Elektronik Müzik, Metal Müzik, Halk Müziği",23403,3
700,Ali,Çelik,Sağlık,"Meditasyon, Psikoloji, Bitkisel Tedaviler",28074,5
701,Ayşe,Yıldız,Sanat,"Tiyatro ve Drama, Film Yapımı ve Sinematografi, Resim ve Çizim",25543,1
702,Veli,Yıldız,Teknoloji,"Web Geliştirme, Siber Güvenlik, Veri Bilimi ve Analitik",23795,4
703,Emre,Kaya,Sanat,"Dans ve Performans Sanatları, Grafik Tasarım, Resim ve Çizim",26603,5
704,Ayşe,Demir,Teknoloji,"Web Geliştirme, Bulut Bilişim ve Büyük Veri, Yapay Zeka ve Makine Öğrenimi",24046,5
705,Ahmet,Kılıç,Müzik,"Rock Müzik, Halk Müziği, Jazz Müzik",34188,4
706,Mehmet,Öztürk,Teknoloji,"Web Geliştirme, İnternet of Things (IoT), Siber Güvenlik",35747,4
707,Ahmet,Yılmaz,Yemek,"Vejetaryen Mutfak, Tatlı, Izgara Yemekler",30778,3
708,Mehmet,Kaya,Sağlık,"Meditasyon, Diyet, Bitkisel Tedaviler",26967,1
709,Veli,Şahin,Edebiyat,"Felsefe, Çocuk Edebiyatı, Roman Yazımı",32344,1
710,Emre,Kaya,Sanat,"Tiyatro ve Drama, Moda Tasarımı, Dans ve Performans Sanatları",25808,3
711,Emre,Çelik,Müzik,"Metal Müzik, Klasik Müzik, Pop Müzik",25858,3
712,Fatma,Öztürk,Yemek,"Moleküler Gastronomi, Izgara Yemekler, Vejetaryen Mutfak",26163,5
713,Yusuf,Yıldız,Sağlık,"Yoga, Psikoloji, Bitkisel Tedaviler",20864,5
714,Ayşe,Karaduman,Spor,"Yamaç Paraşütü, Yüzme, Voleybol",23291,5
715,Mehmet,Karaduman,Spor,"Yüzme, Pilates, Futbol",37445,1
716,Fatma,Öztürk,Teknoloji,"İnternet of Things (IoT), Web Geliştirme, Otomasyon ve Robotik",27784,2
717,Seda,Aydın,Sağlık,"Yoga, Diyet, Bitkisel Tedaviler",20192,2
718,Mehmet,Öztürk,Yemek,"Geleneksel Mutfaklar, Deniz Ürünleri, Tatlı",27881,2
719,Veli,Yıldız,Sanat,"Dans ve Performans Sanatları, Fotoğrafçılık, Moda Tasarımı",25434,2
720,Seda,Şahin,Yemek,"Geleneksel Mutfaklar, Tatlı, Moleküler Gastronomi",31627,3
721,Seda,Karaduman,Teknoloji,"Veri Bilimi ve Analitik, Bulut Bilişim ve Büyük Veri, Yazılım Geliştirme",39841,4
722,Seda,Çelik,Mimar,"Endüstriyel Tasarım, Peyzaj Tasarımı, Yapı Teknolojileri ve Malzemeler",25776,2
723,Ali,Karaduman,Sanat,"Moda Tasarımı, Film Yapımı ve Sinematografi, Resim ve Çizim",24791,2
724,Emre,Öztürk,Edebiyat,"Deneme, Drama, Çocuk Edebiyatı",23899,1
725,Ahmet,Yılmaz,Spor,"Voleybol, Basketbol, Bisiklet",30267,1
726,Elif,Öztürk,Edebiyat,"Tiyatro, Bilim Kurgu, Felsefe",20377,1
727,Ali,Karaduman,Hukuk,"Ceza Hukuku ve Adli Yargı, İş Hukuku ve İşçi Hakları, Çevre Hukuku ve Enerji Hukuku",35168,3
728,Emre,Demir,Mimar,"Endüstriyel Tasarım, Mimari Teori ve Eleştiri, Ulaşım ve Altyapı Tasarımı",33011,2
729,Veli,Yılmaz,Teknoloji,"İnternet of Things (IoT), Web Geliştirme, Mobil Uygulama Geliştirme",30732,2
730,Mehmet,Aydın,Spor,"Yoga, Futbol, Pilates",27652,3
731,Yusuf,Aydın,Müzik,"Halk Müziği, Pop Müzik, Rock Müzik",35064,2
732,Seda,Yıldız,Spor,"Pilates, Yüzme, Bisiklet",34570,2
733,Ali,Demir,Edebiyat,"Biyografi, Makale, Tiyatro",30029,5
734,Emre,Yıldız,Yemek,"Moleküler Gastronomi, Izgara Yemekler, Fransız Mutfağı",26351,2
735,Seda,Karaduman,Hukuk,"Ceza Hukuku ve Adli Yargı, Gayrimenkul ve Emlak Hukuku, Çevre Hukuku ve Enerji Hukuku",36922,5
736,Ayşe,Karaduman,Müzik,"Rap, Klasik Müzik, Elektronik Müzik",23812,1
737,Elif,Öztürk,Sağlık,"Bitkisel Tedaviler, Psikoloji, Meditasyon",20167,4
738,Emre,Yıldız,Mimar,"Endüstriyel Tasarım, Yapı Teknolojileri ve Malzemeler, Yeşil Bina ve Sürdürülebilirlik",23504,4
739,Elif,Şahin,Hukuk,"Ceza Hukuku ve Adli Yargı, Gayrimenkul ve Emlak Hukuku, Anayasa Hukuku ve İnsan Hakları",24249,3
740,Mehmet,Çelik,Yemek,"Deniz Ürünleri, İtalyan Mutfağı, Izgara Yemekler",37639,2
741,Fatma,Demir,Sanat,"Grafik Tasarım, Moda Tasarımı, Resim ve Çizim",37042,3
742,Emre,Şahin,Spor,"Bisiklet, Fitness, Pilates",25262,2
743,Veli,Öztürk,Mimar,"Yeşil Bina ve Sürdürülebilirlik, Ulaşım ve Altyapı Tasarımı, Restorasyon",22693,4
744,Fatma,Çelik,Spor,"Yamaç Paraşütü, Voleybol, Yüzme",39258,3
745,Fatma,Çelik,Müzik,"Pop Müzik, Elektronik Müzik, Halk Müziği",35751,4
746,Ayşe,Kaya,Yemek,"Izgara Yemekler, Deniz Ürünleri, Moleküler Gastronomi",33505,3
747,Fatma,Çelik,Teknoloji,"Siber Güvenlik, İnternet of Things (IoT), Web Geliştirme",35585,1
748,Fatma,Kılıç,Teknoloji,"Otomasyon ve Robotik, Yazılım Geliştirme, İnternet of Things (IoT)",33642,3
749,Fatma,Yılmaz,Edebiyat,"Tarih, Makale, Fantastik Kurgu",27206,3
750,Ahmet,Kaya,Sanat,"Dans ve Performans Sanatları, Film Yapımı ve Sinematografi, Fotoğrafçılık",35101,3
751,Ali,Çelik,Spor,"Futbol, Pilates, Yoga",29001,5
752,Veli,Kaya,Sağlık,"Psikoloji, Bitkisel Tedaviler, Diyet",25361,3
753,Fatma,Yıldız,Edebiyat,"Makale, Deneme, Roman Yazımı",24110,3
754,Mehmet,Aydın,Yemek,"Fransız Mutfağı, Kafein Kültürü, Vejetaryen Mutfak",31458,4
755,Ahmet,Şahin,Hukuk,"İdare Hukuku ve Vergilendirme, Uluslararası Hukuk ve Diplomasi, İş Hukuku ve İşçi Hakları",21593,4
756,Fatma,Yıldız,Hukuk,"Ceza Hukuku ve Adli Yargı, Fikri Mülkiyet Hukuku, Anayasa Hukuku ve İnsan Hakları",24466,1
757,Ayşe,Aydın,Spor,"Pilates, Yamaç Paraşütü, Yüzme",25457,1
758,Ayşe,Aydın,Mimar,"Parklar, Endüstriyel Tasarım, Restorasyon",20821,4
759,Ali,Karaduman,Hukuk,"İş Hukuku ve İşçi Hakları, Ticaret ve Şirket Hukuku, Uluslararası Hukuk ve Diplomasi",20194,5
760,Seda,Çelik,Hukuk,"Gayrimenkul ve Emlak Hukuku, Anayasa Hukuku ve İnsan Hakları, Fikri Mülkiyet Hukuku",21409,2
761,Mehmet,Yılmaz,Sanat,"Tiyatro ve Drama, Film Yapımı ve Sinematografi, Moda Tasarımı",39911,1
762,Mehmet,Karaduman,Hukuk,"İdare Hukuku ve Vergilendirme, Çevre Hukuku ve Enerji Hukuku, Ticaret ve Şirket Hukuku",30247,4
763,Ahmet,Yıldız,Hukuk,"Ticaret ve Şirket Hukuku, İdare Hukuku ve Vergilendirme, Medeni Hukuk ve Aile Hukuku",30312,2
764,Yusuf,Kılıç,Sağlık,"Diyet, Psikoloji, Meditasyon",24884,3
765,Mehmet,Aydın,Sağlık,"Meditasyon, Diyet, Bitkisel Tedaviler",20023,1
766,Veli,Şahin,Yemek,"İtalyan Mutfağı, Moleküler Gastronomi, Kafein Kültürü",31578,3
767,Veli,Yılmaz,Mimar,"Ulaşım ve Altyapı Tasarımı, Peyzaj Tasarımı, Yapı Teknolojileri ve Malzemeler",32881,2
768,Fatma,Şahin,Hukuk,"Anayasa Hukuku ve İnsan Hakları, İş Hukuku ve İşçi Hakları, Medeni Hukuk ve Aile Hukuku",25367,5
769,Ali,Kaya,Teknoloji,"Otomasyon ve Robotik, Yazılım Geliştirme, Web Geliştirme",32343,3
770,Seda,Kaya,Teknoloji,"Mobil Uygulama Geliştirme, Yazılım Geliştirme, Siber Güvenlik",35976,4
771,Seda,Demir,Edebiyat,"Roman Yazımı, Fantastik Kurgu, Şiir",21475,4
772,Fatma,Şahin,Teknoloji,"Veri Bilimi ve Analitik, Web Geliştirme, Mobil Uygulama Geliştirme",34655,5
773,Veli,Şahin,Mimar,"Parklar, Peyzaj Tasarımı, Yeşil Bina ve Sürdürülebilirlik",24800,1
774,Ali,Şahin,Yemek,"Geleneksel Mutfaklar, Moleküler Gastronomi, İtalyan Mutfağı",29794,4
775,Fatma,Yıldız,Teknoloji,"Veri Bilimi ve Analitik, Siber Güvenlik, Web Geliştirme",24607,1
776,Veli,Yılmaz,Hukuk,"Anayasa Hukuku ve İnsan Hakları, Fikri Mülkiyet Hukuku, Gayrimenkul ve Emlak Hukuku",29533,5
777,Ahmet,Şahin,Edebiyat,"Makale, Şiir, Roman Yazımı",21874,2
778,Emre,Yılmaz,Yemek,"İtalyan Mutfağı, Deniz Ürünleri, Vejetaryen Mutfak",21482,4
779,Yusuf,Öztürk,Teknoloji,"Bulut Bilişim ve Büyük Veri, Oyun Geliştirme, Veri Bilimi ve Analitik",30861,4
780,Seda,Kılıç,Müzik,"Elektronik Müzik, Rock Müzik, Klasik Müzik",37515,2
781,Yusuf,Çelik,Teknoloji,"Otomasyon ve Robotik, Yazılım Geliştirme, Veri Bilimi ve Analitik",23697,4
782,Seda,Kılıç,Spor,"Yüzme, Yoga, Tenis",22541,3
783,Ahmet,Kılıç,Müzik,"Pop Müzik, Rock Müzik, Halk Müziği",27964,5
784,Fatma,Şahin,Yemek,"Fransız Mutfağı, Geleneksel Mutfaklar, Izgara Yemekler",35862,3
785,Elif,Çelik,Yemek,"Geleneksel Mutfaklar, Izgara Yemekler, İtalyan Mutfağı",22643,3
786,Ayşe,Yıldız,Hukuk,"Ticaret ve Şirket Hukuku, Ceza Hukuku ve Adli Yargı, Gayrimenkul ve Emlak Hukuku",34547,2
787,Emre,Demir,Teknoloji,"Mobil Uygulama Geliştirme, Oyun Geliştirme, Veri Bilimi ve Analitik",38947,3
788,Seda,Karaduman,Yemek,"İtalyan Mutfağı, Tatlı, Kafein Kültürü",35958,3
789,Ahmet,Aydın,Sanat,"Fotoğrafçılık, Moda Tasarımı, Tiyatro ve Drama",34047,2
790,Fatma,Öztürk,Spor,"Bisiklet, Yoga, Pilates",39908,5
791,Ali,Şahin,Hukuk,"Uluslararası Hukuk ve Diplomasi, Anayasa Hukuku ve İnsan Hakları, İdare Hukuku ve Vergilendirme",31141,4
792,Yusuf,Öztürk,Yemek,"İtalyan Mutfağı, Geleneksel Mutfaklar, Kafein Kültürü",20523,3
793,Ayşe,Aydın,Mimar,"Yeşil Bina ve Sürdürülebilirlik, Parklar, Yapı Teknolojileri ve Malzemeler",30507,3
794,Elif,Şahin,Hukuk,"İş Hukuku ve İşçi Hakları, Anayasa Hukuku ve İnsan Hakları, Uluslararası Hukuk ve Diplomasi",31766,2
795,Ayşe,Çelik,Hukuk,"Fikri Mülkiyet Hukuku, İdare Hukuku ve Vergilendirme, Gayrimenkul ve Emlak Hukuku",28945,3
796,Ayşe,Yılmaz,Edebiyat,"Roman Yazımı, Tiyatro, Makale",33868,4
797,Fatma,Aydın,Spor,"Voleybol, Fitness, Futbol",22973,4
798,Seda,Yılmaz,Sağlık,"Yoga, Diyet, Meditasyon",28501,1
799,Ahmet,Yıldız,Sanat,"Film Yapımı ve Sinematografi, Grafik Tasarım, Moda Tasarımı",21317,4
800,Emre,Şahin,Hukuk,"Medeni Hukuk ve Aile Hukuku, Uluslararası Hukuk ve Diplomasi, Gayrimenkul ve Emlak Hukuku",31451,2
801,Emre,Karaduman,Yemek,"Tatlı, Moleküler Gastronomi, Vejetaryen Mutfak",34298,1
802,Veli,Karaduman,Mimar,"Mimari Teori ve Eleştiri, Parklar, İç Mekan Tasarımı",21890,5
803,Ali,Öztürk,Sanat,"Film Yapımı ve Sinematografi, Fotoğrafçılık, Tiyatro ve Drama",36423,1
804,Veli,Yılmaz,Yemek,"Tatlı, Geleneksel Mutfaklar, Kafein Kültürü",29315,4
805,Yusuf,Yıldız,Mimar,"Endüstriyel Tasarım, Restorasyon, İç Mekan Tasarımı",30168,4
806,Mehmet,Şahin,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Gayrimenkul ve Emlak Hukuku, Ceza Hukuku ve Adli Yargı",30745,5
807,Veli,Kılıç,Müzik,"Metal Müzik, Elektronik Müzik, Halk Müziği",21173,4
808,Ayşe,Çelik,Müzik,"Klasik Müzik, Rap, Pop Müzik",20684,5
809,Emre,Demir,Edebiyat,"Şiir, Fantastik Kurgu, Drama",32676,1
810,Mehmet,Aydın,Teknoloji,"Web Geliştirme, Siber Güvenlik, Yapay Zeka ve Makine Öğrenimi",32832,4
811,Emre,Kaya,Müzik,"Rock Müzik, Halk Müziği, Metal Müzik",30064,5
812,Fatma,Kılıç,Hukuk,"İş Hukuku ve İşçi Hakları, Anayasa Hukuku ve İnsan Hakları, Fikri Mülkiyet Hukuku",25246,1
813,Veli,Kılıç,Spor,"Fitness, Bisiklet, Yoga",25505,4
814,Yusuf,Çelik,Müzik,"Klasik Müzik, Rap, Elektronik Müzik",38493,1
815,Veli,Çelik,Yemek,"Moleküler Gastronomi, Geleneksel Mutfaklar, Kafein Kültürü",25124,4
816,Seda,Çelik,Hukuk,"İş Hukuku ve İşçi Hakları, Çevre Hukuku ve Enerji Hukuku, Anayasa Hukuku ve İnsan Hakları",25876,5
817,Ayşe,Öztürk,Hukuk,"İş Hukuku ve İşçi Hakları, Uluslararası Hukuk ve Diplomasi, Çevre Hukuku ve Enerji Hukuku",25903,3
818,Emre,Kılıç,Müzik,"Pop Müzik, Jazz Müzik, Metal Müzik",21119,2
819,Yusuf,Yıldız,Mimar,"Endüstriyel Tasarım, Parklar, Mimari Teori ve Eleştiri",33346,4
820,Ayşe,Öztürk,Sanat,"Film Yapımı ve Sinematografi, Moda Tasarımı, Grafik Tasarım",39578,5
821,Veli,Aydın,Sağlık,"Yoga, Meditasyon, Psikoloji",20187,5
822,Ahmet,Şahin,Müzik,"Rap, Halk Müziği, Pop Müzik",27146,4
823,Elif,Öztürk,Yemek,"Moleküler Gastronomi, Fransız Mutfağı, Izgara Yemekler",21536,1
824,Ali,Kılıç,Müzik,"Klasik Müzik, Rock Müzik, Pop Müzik",22816,1
825,Ayşe,Kılıç,Spor,"Futbol, Yamaç Paraşütü, Yoga",20588,2
826,Seda,Şahin,Yemek,"Moleküler Gastronomi, Geleneksel Mutfaklar, İtalyan Mutfağı",34758,4
827,Yusuf,Çelik,Mimar,"Yeşil Bina ve Sürdürülebilirlik, Mimari Teori ve Eleştiri, Parklar",39787,4
828,Ayşe,Kılıç,Müzik,"Rap, Halk Müziği, Jazz Müzik",29506,2
829,Veli,Şahin,Sanat,"Grafik Tasarım, Tiyatro ve Drama, Resim ve Çizim",20208,4
830,Seda,Çelik,Sağlık,"Meditasyon, Psikoloji, Diyet",35413,2
831,Emre,Öztürk,Spor,"Voleybol, Futbol, Yamaç Paraşütü",21024,3
832,Ali,Aydın,Sağlık,"Diyet, Yoga, Bitkisel Tedaviler",31586,2
833,Ali,Yılmaz,Mimar,"Parklar, Yapı Teknolojileri ve Malzemeler, Endüstriyel Tasarım",37128,1
834,Veli,Yıldız,Mimar,"Mimari Teori ve Eleştiri, Restorasyon, Peyzaj Tasarımı",31784,4
835,Elif,Çelik,Spor,"Yamaç Paraşütü, Tenis, Bisiklet",37502,1
836,Fatma,Öztürk,Teknoloji,"Oyun Geliştirme, Otomasyon ve Robotik, İnternet of Things (IoT)",32275,5
837,Veli,Yıldız,Müzik,"Rock Müzik, Metal Müzik, Halk Müziği",20705,3
838,Elif,Yılmaz,Spor,"Tenis, Yüzme, Futbol",32742,5
839,Yusuf,Yıldız,Edebiyat,"Deneme, Tarih, Felsefe",24587,3
840,Fatma,Öztürk,Sağlık,"Bitkisel Tedaviler, Psikoloji, Meditasyon",30812,4
841,Ayşe,Yılmaz,Hukuk,"Uluslararası Hukuk ve Diplomasi, Anayasa Hukuku ve İnsan Hakları, Ticaret ve Şirket Hukuku",36245,1
842,Ali,Öztürk,Yemek,"Izgara Yemekler, Tatlı, Geleneksel Mutfaklar",27648,1
843,Fatma,Kaya,Teknoloji,"Veri Bilimi ve Analitik, Yazılım Geliştirme, Otomasyon ve Robotik",28627,1
844,Seda,Şahin,Sanat,"Film Yapımı ve Sinematografi, Fotoğrafçılık, Moda Tasarımı",39182,1
845,Ayşe,Öztürk,Hukuk,"Medeni Hukuk ve Aile Hukuku, Ceza Hukuku ve Adli Yargı, Uluslararası Hukuk ve Diplomasi",20917,3
846,Emre,Aydın,Sanat,"Film Yapımı ve Sinematografi, Moda Tasarımı, Tiyatro ve Drama",23345,5
847,Ahmet,Kaya,Yemek,"Tatlı, Fransız Mutfağı, Moleküler Gastronomi",31996,5
848,Emre,Kılıç,Müzik,"Rock Müzik, Rap, Metal Müzik",26246,3
849,Elif,Yılmaz,Sağlık,"Yoga, Diyet, Bitkisel Tedaviler",27466,2
850,Ali,Aydın,Sağlık,"Psikoloji, Diyet, Yoga",36628,5
851,Emre,Yılmaz,Teknoloji,"Otomasyon ve Robotik, Web Geliştirme, Veri Bilimi ve Analitik",30350,4
852,Yusuf,Karaduman,Sanat,"Film Yapımı ve Sinematografi, Tiyatro ve Drama, Fotoğrafçılık",35467,3
853,Ali,Yıldız,Sağlık,"Meditasyon, Yoga, Diyet",26932,1
854,Ayşe,Yıldız,Teknoloji,"Veri Bilimi ve Analitik, İnternet of Things (IoT), Otomasyon ve Robotik",33391,1
855,Veli,Şahin,Edebiyat,"Roman Yazımı, Makale, Bilim Kurgu",38102,5
856,Emre,Kaya,Teknoloji,"Mobil Uygulama Geliştirme, Web Geliştirme, Yazılım Geliştirme",30396,1
857,Yusuf,Kılıç,Sanat,"Fotoğrafçılık, Resim ve Çizim, Film Yapımı ve Sinematografi",38845,1
858,Veli,Karaduman,Müzik,"Metal Müzik, Pop Müzik, Jazz Müzik",20596,5
859,Ali,Çelik,Sağlık,"Psikoloji, Diyet, Meditasyon",23655,1
860,Mehmet,Çelik,Yemek,"Moleküler Gastronomi, Izgara Yemekler, Deniz Ürünleri",35122,5
861,Ali,Çelik,Mimar,"Ulaşım ve Altyapı Tasarımı, Restorasyon, İç Mekan Tasarımı",36094,2
862,Elif,Öztürk,Yemek,"Vejetaryen Mutfak, Tatlı, Deniz Ürünleri",20464,3
863,Emre,Yıldız,Spor,"Tenis, Bisiklet, Yamaç Paraşütü",33855,3
864,Ayşe,Karaduman,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Gayrimenkul ve Emlak Hukuku, Ticaret ve Şirket Hukuku",25054,4
865,Seda,Şahin,Hukuk,"Medeni Hukuk ve Aile Hukuku, İş Hukuku ve İşçi Hakları, Ceza Hukuku ve Adli Yargı",38397,5
866,Elif,Yılmaz,Yemek,"Izgara Yemekler, Moleküler Gastronomi, Kafein Kültürü",29263,2
867,Mehmet,Kaya,Edebiyat,"Çocuk Edebiyatı, Felsefe, Roman Yazımı",31941,5
868,Yusuf,Yıldız,Hukuk,"İş Hukuku ve İşçi Hakları, Fikri Mülkiyet Hukuku, Medeni Hukuk ve Aile Hukuku",37783,1
869,Seda,Aydın,Edebiyat,"Roman Yazımı, Makale, Tiyatro",33070,4
870,Fatma,Öztürk,Edebiyat,"Drama, Deneme, Makale",21900,5
871,Emre,Kaya,Teknoloji,"Veri Bilimi ve Analitik, Otomasyon ve Robotik, Yazılım Geliştirme",31676,5
872,Seda,Kılıç,Teknoloji,"Bulut Bilişim ve Büyük Veri, Web Geliştirme, Yazılım Geliştirme",32562,1
873,Ali,Yıldız,Spor,"Fitness, Bisiklet, Futbol",26479,4
874,Emre,Yılmaz,Hukuk,"Gayrimenkul ve Emlak Hukuku, İdare Hukuku ve Vergilendirme, Ceza Hukuku ve Adli Yargı",23304,3
875,Yusuf,Yıldız,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Gayrimenkul ve Emlak Hukuku, Medeni Hukuk ve Aile Hukuku",33739,1
876,Seda,Şahin,Sanat,"Grafik Tasarım, Resim ve Çizim, Dans ve Performans Sanatları",32816,4
877,Fatma,Çelik,Müzik,"Klasik Müzik, Jazz Müzik, Halk Müziği",24767,4
878,Ahmet,Öztürk,Edebiyat,"Roman Yazımı, Tiyatro, Felsefe",39455,5
879,Fatma,Demir,Hukuk,"İdare Hukuku ve Vergilendirme, İş Hukuku ve İşçi Hakları, Ceza Hukuku ve Adli Yargı",22942,4
880,Emre,Demir,Sanat,"Film Yapımı ve Sinematografi, Tiyatro ve Drama, Fotoğrafçılık",24188,5
881,Veli,Karaduman,Spor,"Voleybol, Yoga, Futbol",35517,2
882,Ayşe,Karaduman,Sağlık,"Meditasyon, Psikoloji, Yoga",29571,3
883,Yusuf,Yılmaz,Mimar,"Ulaşım ve Altyapı Tasarımı, İç Mekan Tasarımı, Peyzaj Tasarımı",31680,5
884,Elif,Kılıç,Hukuk,"Gayrimenkul ve Emlak Hukuku, Anayasa Hukuku ve İnsan Hakları, Medeni Hukuk ve Aile Hukuku",23656,4
885,Emre,Yılmaz,Edebiyat,"Tiyatro, Roman Yazımı, Bilim Kurgu",26357,5
886,Fatma,Yıldız,Mimar,"Restorasyon, Parklar, İç Mekan Tasarımı",36789,5
887,Seda,Kılıç,Teknoloji,"Mobil Uygulama Geliştirme, Bulut Bilişim ve Büyük Veri, Otomasyon ve Robotik",24633,5
888,Elif,Aydın,Sağlık,"Meditasyon, Yoga, Diyet",22292,2
889,Mehmet,Aydın,Yemek,"Geleneksel Mutfaklar, Deniz Ürünleri, Moleküler Gastronomi",26716,5
890,Ayşe,Karaduman,Spor,"Tenis, Yamaç Paraşütü, Fitness",33626,2
891,Veli,Şahin,Sanat,"Resim ve Çizim, Film Yapımı ve Sinematografi, Moda Tasarımı",25358,3
892,Seda,Öztürk,Sanat,"Tiyatro ve Drama, Fotoğrafçılık, Dans ve Performans Sanatları",24908,1
893,Elif,Öztürk,Spor,"Pilates, Yoga, Yamaç Paraşütü",26461,5
894,Seda,Öztürk,Yemek,"Vejetaryen Mutfak, Geleneksel Mutfaklar, Deniz Ürünleri",37716,2
895,Ayşe,Kaya,Spor,"Fitness, Yamaç Paraşütü, Yoga",28662,4
896,Ayşe,Şahin,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Anayasa Hukuku ve İnsan Hakları, Ceza Hukuku ve Adli Yargı",30259,5
897,Yusuf,Demir,Sağlık,"Psikoloji, Meditasyon, Diyet",23235,4
898,Ahmet,Kaya,Yemek,"Kafein Kültürü, Moleküler Gastronomi, Izgara Yemekler",22873,1
899,Fatma,Karaduman,Teknoloji,"Bulut Bilişim ve Büyük Veri, Web Geliştirme, Otomasyon ve Robotik",25355,4
900,Veli,Yılmaz,Teknoloji,"Veri Bilimi ve Analitik, Yapay Zeka ve Makine Öğrenimi, Yazılım Geliştirme",34033,5
901,Elif,Aydın,Hukuk,"Ceza Hukuku ve Adli Yargı, İdare Hukuku ve Vergilendirme, İş Hukuku ve İşçi Hakları",26057,4
902,Mehmet,Aydın,Teknoloji,"Siber Güvenlik, Oyun Geliştirme, İnternet of Things (IoT)",30727,1
903,Ayşe,Şahin,Yemek,"Izgara Yemekler, İtalyan Mutfağı, Kafein Kültürü",25546,4
904,Ahmet,Karaduman,Teknoloji,"Veri Bilimi ve Analitik, Bulut Bilişim ve Büyük Veri, Web Geliştirme",24899,4
905,Seda,Çelik,Hukuk,"Ceza Hukuku ve Adli Yargı, İdare Hukuku ve Vergilendirme, Fikri Mülkiyet Hukuku",29547,4
906,Veli,Yıldız,Hukuk,"Ceza Hukuku ve Adli Yargı, İş Hukuku ve İşçi Hakları, İdare Hukuku ve Vergilendirme",31262,5
907,Veli,Demir,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Ceza Hukuku ve Adli Yargı, Uluslararası Hukuk ve Diplomasi",34283,1
908,Seda,Şahin,Hukuk,"Ceza Hukuku ve Adli Yargı, İş Hukuku ve İşçi Hakları, Çevre Hukuku ve Enerji Hukuku",27803,5
909,Ayşe,Demir,Müzik,"Rap, Elektronik Müzik, Jazz Müzik",28950,4
910,Elif,Demir,Yemek,"Moleküler Gastronomi, Tatlı, Vejetaryen Mutfak",22220,4
911,Ali,Kılıç,Mimar,"İç Mekan Tasarımı, Parklar, Ofis Yapıları",36717,1
912,Veli,Kaya,Yemek,"Tatlı, İtalyan Mutfağı, Geleneksel Mutfaklar",21429,4
913,Yusuf,Yılmaz,Sağlık,"Psikoloji, Meditasyon, Bitkisel Tedaviler",26286,4
914,Ayşe,Demir,Yemek,"Geleneksel Mutfaklar, İtalyan Mutfağı, Deniz Ürünleri",26326,2
915,Elif,Kaya,Yemek,"Kafein Kültürü, Moleküler Gastronomi, Izgara Yemekler",28937,3
916,Ahmet,Öztürk,Mimar,"Ulaşım ve Altyapı Tasarımı, İç Mekan Tasarımı, Parklar",35554,1
917,Mehmet,Yıldız,Teknoloji,"Web Geliştirme, Otomasyon ve Robotik, Bulut Bilişim ve Büyük Veri",38689,1
918,Elif,Aydın,Yemek,"Izgara Yemekler, Tatlı, Kafein Kültürü",29264,4
919,Emre,Karaduman,Sağlık,"Psikoloji, Diyet, Yoga",29870,5
920,Emre,Karaduman,Spor,"Futbol, Pilates, Voleybol",26523,5
921,Fatma,Kaya,Yemek,"Vejetaryen Mutfak, Tatlı, Fransız Mutfağı",39902,4
922,Fatma,Kaya,Sanat,"Film Yapımı ve Sinematografi, Moda Tasarımı, Dans ve Performans Sanatları",25099,5
923,Ayşe,Yıldız,Edebiyat,"Bilim Kurgu, Çocuk Edebiyatı, Biyografi",25657,5
924,Fatma,Kaya,Sağlık,"Bitkisel Tedaviler, Diyet, Psikoloji",35770,2
925,Ahmet,Aydın,Teknoloji,"Yazılım Geliştirme, Oyun Geliştirme, Web Geliştirme",32118,4
926,Ayşe,Yıldız,Spor,"Pilates, Voleybol, Tenis",20624,1
927,Ali,Demir,Yemek,"Deniz Ürünleri, Vejetaryen Mutfak, Fransız Mutfağı",30927,4
