ID,Name,Surname,Category,Interests
24732,Seda,Karaduman,Spor,"Yüzme, Fitness, Yamaç Paraşütü"
24733,Seda,Çelik,Müzik,"Rap, Jazz Müzik, Metal Müzik"
24734,Elif,Çelik,Sağlık,"Meditasyon, Yoga, Diyet"
24735,Seda,Demir,Yemek,"Tatlı, Geleneksel Mutfaklar, Kafein Kültürü"
24736,Fatma,Demir,Sağlık,"Bitkisel Tedaviler, Meditasyon, Diyet"
24737,Mehmet,Yılmaz,Mimar,"Ulaşım ve Altyapı Tasarımı, Mimari Teori ve Eleştiri, Yeşil Bina ve Sürdürülebilirlik"
24738,Emre,Aydın,Mimar,"Parklar, Mimari Teori ve Eleştiri, Yeşil Bina ve Sürdürülebilirlik"
24739,Emre,Kaya,Edebiyat,"Makale, Çocuk Edebiyatı, Tiyatro"
24740,Veli,Kaya,Yemek,"Tatlı, İtalyan Mutfağı, Deniz Ürünleri"
24741,Ayşe,Karaduman,Müzik,"Elektronik Müzik, Jazz Müzik, Halk Müziği"
24742,Seda,Yıldız,Sanat,"Grafik Tasarım, Fotoğrafçılık, Film Yapımı ve Sinematografi"
24743,Emre,Kaya,Mimar,"Mimari Teori ve Eleştiri, Peyzaj Tasarımı, Yeşil Bina ve Sürdürülebilirlik"
24744,Fatma,Çelik,Hukuk,"Medeni Hukuk ve Aile Hukuku, Uluslararası Hukuk ve Diplomasi, Çevre Hukuku ve Enerji Hukuku"
24745,Ayşe,Yılmaz,Mimar,"Ofis Yapıları, Yapı Teknolojileri ve Malzemeler, Mimari Teori ve Eleştiri"
24746,Emre,Aydın,Spor,"Voleybol, Yamaç Paraşütü, Tenis"
24747,Yusuf,Aydın,Teknoloji,"Mobil Uygulama Geliştirme, Otomasyon ve Robotik, Bulut Bilişim ve Büyük Veri"
24748,Seda,Yıldız,Mimar,"Parklar, Peyzaj Tasarımı, İç Mekan Tasarımı"
24749,Fatma,Çelik,Teknoloji,"Mobil Uygulama Geliştirme, Oyun Geliştirme, Web Geliştirme"
24750,Veli,Aydın,Müzik,"Halk Müziği, Pop Müzik, Jazz Müzik"
24751,Yusuf,Yılmaz,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Uluslararası Hukuk ve Diplomasi, Ticaret ve Şirket Hukuku"
24752,Fatma,Çelik,Edebiyat,"Çocuk Edebiyatı, Drama, Felsefe"
24753,Ali,Karaduman,Mimar,"Mimari Teori ve Eleştiri, İç Mekan Tasarımı, Ulaşım ve Altyapı Tasarımı"
24754,Veli,Demir,Mimar,"Yeşil Bina ve Sürdürülebilirlik, Endüstriyel Tasarım, Parklar"
24755,Veli,Yıldız,Sanat,"Tiyatro ve Drama, Grafik Tasarım, Film Yapımı ve Sinematografi"
24756,Veli,Yıldız,Mimar,"Yapı Teknolojileri ve Malzemeler, Mimari Teori ve Eleştiri, Restorasyon"
24757,Emre,Öztürk,Müzik,"Elektronik Müzik, Rock Müzik, Rap"
24758,Elif,Şahin,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Fikri Mülkiyet Hukuku, Anayasa Hukuku ve İnsan Hakları"
24759,Fatma,Aydın,Sağlık,"Yoga, Psikoloji, Meditasyon"
24760,Elif,Çelik,Hukuk,"İş Hukuku ve İşçi Hakları, Gayrimenkul ve Emlak Hukuku, Uluslararası Hukuk ve Diplomasi"
24761,Ayşe,Şahin,Edebiyat,"Deneme, Felsefe, Makale"
24762,Ali,Karaduman,Sağlık,"Diyet, Meditasyon, Bitkisel Tedaviler"
24763,Fatma,Çelik,Teknoloji,"Mobil Uygulama Geliştirme, Web Geliştirme, Bulut Bilişim ve Büyük Veri"
24764,Ahmet,Çelik,Mimar,"Ulaşım ve Altyapı Tasarımı, Parklar, Restorasyon"
24765,Fatma,Aydın,Teknoloji,"Yazılım Geliştirme, Web Geliştirme, Mobil Uygulama Geliştirme"
24766,Yusuf,Öztürk,Spor,"Yüzme, Fitness, Futbol"
24767,Emre,Kılıç,Müzik,"Jazz Müzik, Rap, Pop Müzik"
24768,Elif,Çelik,Müzik,"Rap, Pop Müzik, Elektronik Müzik"
24769,Emre,Aydın,Hukuk,"Uluslararası Hukuk ve Diplomasi, Ceza Hukuku ve Adli Yargı, Medeni Hukuk ve Aile Hukuku"
24770,Mehmet,Şahin,Hukuk,"Anayasa Hukuku ve İnsan Hakları, Ceza Hukuku ve Adli Yargı, Çevre Hukuku ve Enerji Hukuku"
24771,Ali,Yılmaz,Spor,"Yüzme, Fitness, Tenis"
24772,Ali,Demir,Teknoloji,"İnternet of Things (IoT), Bulut Bilişim ve Büyük Veri, Mobil Uygulama Geliştirme"
24773,Elif,Öztürk,Müzik,"Klasik Müzik, Elektronik Müzik, Pop Müzik"
24774,Ayşe,Kılıç,Yemek,"Fransız Mutfağı, Kafein Kültürü, Izgara Yemekler"
24775,Elif,Aydın,Spor,"Bisiklet, Basketbol, Yoga"
24776,Yusuf,Yılmaz,Sağlık,"Yoga, Bitkisel Tedaviler, Psikoloji"
24777,Ayşe,Yıldız,Müzik,"Metal Müzik, Elektronik Müzik, Halk Müziği"
24778,Mehmet,Şahin,Müzik,"Elektronik Müzik, Klasik Müzik, Rap"
24779,Emre,Kılıç,Sanat,"Resim ve Çizim, Moda Tasarımı, Fotoğrafçılık"
24780,Elif,Öztürk,Yemek,"Deniz Ürünleri, Vejetaryen Mutfak, Tatlı"
24781,Emre,Karaduman,Mimar,"Mimari Teori ve Eleştiri, Ulaşım ve Altyapı Tasarımı, Ofis Yapıları"
24782,Elif,Öztürk,Hukuk,"Ceza Hukuku ve Adli Yargı, İş Hukuku ve İşçi Hakları, Uluslararası Hukuk ve Diplomasi"
24783,Yusuf,Karaduman,Sanat,"Dans ve Performans Sanatları, Grafik Tasarım, Film Yapımı ve Sinematografi"
24784,Elif,Öztürk,Edebiyat,"Tarih, Roman Yazımı, Drama"
24785,Ayşe,Çelik,Yemek,"Vejetaryen Mutfak, Fransız Mutfağı, Izgara Yemekler"
24786,Seda,Kılıç,Teknoloji,"İnternet of Things (IoT), Oyun Geliştirme, Bulut Bilişim ve Büyük Veri"
24787,Emre,Yıldız,Yemek,"Izgara Yemekler, İtalyan Mutfağı, Fransız Mutfağı"
24788,Emre,Öztürk,Teknoloji,"Oyun Geliştirme, Yazılım Geliştirme, Bulut Bilişim ve Büyük Veri"
24789,Seda,Yıldız,Mimar,"Ofis Yapıları, Yapı Teknolojileri ve Malzemeler, Ulaşım ve Altyapı Tasarımı"
24790,Seda,Aydın,Müzik,"Rock Müzik, Elektronik Müzik, Pop Müzik"
24791,Veli,Yıldız,Sanat,"Fotoğrafçılık, Moda Tasarımı, Grafik Tasarım"
24792,Fatma,Demir,Edebiyat,"Makale, Drama, Bilim Kurgu"
24793,Emre,Kaya,Teknoloji,"İnternet of Things (IoT), Oyun Geliştirme, Bulut Bilişim ve Büyük Veri"
24794,Fatma,Demir,Sanat,"Grafik Tasarım, Fotoğrafçılık, Tiyatro ve Drama"
24795,Ahmet,Aydın,Sanat,"Grafik Tasarım, Fotoğrafçılık, Tiyatro ve Drama"
24796,Seda,Şahin,Müzik,"Jazz Müzik, Pop Müzik, Metal Müzik"
24797,Fatma,Karaduman,Spor,"Yamaç Paraşütü, Yoga, Tenis"
24798,Fatma,Öztürk,Sanat,"Dans ve Performans Sanatları, Fotoğrafçılık, Resim ve Çizim"
24799,Ahmet,Şahin,Hukuk,"Anayasa Hukuku ve İnsan Hakları, Ceza Hukuku ve Adli Yargı, Uluslararası Hukuk ve Diplomasi"
24800,Yusuf,Şahin,Mimar,"Ofis Yapıları, Peyzaj Tasarımı, Parklar"
24801,Mehmet,Aydın,Sanat,"Film Yapımı ve Sinematografi, Tiyatro ve Drama, Grafik Tasarım"
24802,Veli,Çelik,Mimar,"Ulaşım ve Altyapı Tasarımı, İç Mekan Tasarımı, Ofis Yapıları"
24803,Yusuf,Çelik,Sağlık,"Meditasyon, Diyet, Psikoloji"
24804,Ayşe,Yılmaz,Mimar,"Ofis Yapıları, Restorasyon, Parklar"
24805,Fatma,Yılmaz,Teknoloji,"Mobil Uygulama Geliştirme, Veri Bilimi ve Analitik, Yapay Zeka ve Makine Öğrenimi"
24806,Seda,Öztürk,Sağlık,"Bitkisel Tedaviler, Psikoloji, Meditasyon"
24807,Ayşe,Çelik,Sağlık,"Meditasyon, Bitkisel Tedaviler, Psikoloji"
24808,Yusuf,Yıldız,Yemek,"Izgara Yemekler, Deniz Ürünleri, Fransız Mutfağı"
24809,Ali,Yıldız,Sağlık,"Yoga, Meditasyon, Psikoloji"
24810,Yusuf,Demir,Teknoloji,"Siber Güvenlik, Mobil Uygulama Geliştirme, Yazılım Geliştirme"
24811,Mehmet,Şahin,Edebiyat,"Roman Yazımı, Felsefe, Fantastik Kurgu"
24812,Seda,Aydın,Hukuk,"Ticaret ve Şirket Hukuku, Çevre Hukuku ve Enerji Hukuku, Uluslararası Hukuk ve Diplomasi"
24813,Ali,Öztürk,Yemek,"Vejetaryen Mutfak, Moleküler Gastronomi, Geleneksel Mutfaklar"
24814,Elif,Karaduman,Sanat,"Resim ve Çizim, Moda Tasarımı, Tiyatro ve Drama"
24815,Yusuf,Yılmaz,Sağlık,"Yoga, Psikoloji, Bitkisel Tedaviler"
24816,Ayşe,Şahin,Mimar,"Endüstriyel Tasarım, Ulaşım ve Altyapı Tasarımı, Restorasyon"
24817,Yusuf,Öztürk,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Fikri Mülkiyet Hukuku, İdare Hukuku ve Vergilendirme"
24818,Elif,Demir,Spor,"Pilates, Futbol, Bisiklet"
24819,Seda,Yılmaz,Müzik,"Rap, Elektronik Müzik, Jazz Müzik"
24820,Fatma,Kaya,Sağlık,"Yoga, Bitkisel Tedaviler, Meditasyon"
24821,Fatma,Şahin,Sağlık,"Diyet, Yoga, Psikoloji"
24822,Veli,Öztürk,Mimar,"Endüstriyel Tasarım, Restorasyon, Peyzaj Tasarımı"
24823,Veli,Aydın,Mimar,"Restorasyon, Parklar, Mimari Teori ve Eleştiri"
24824,Fatma,Çelik,Spor,"Bisiklet, Tenis, Yoga"
24825,Elif,Yıldız,Mimar,"Ulaşım ve Altyapı Tasarımı, Yeşil Bina ve Sürdürülebilirlik, İç Mekan Tasarımı"
24826,Ali,Yılmaz,Mimar,"Parklar, Peyzaj Tasarımı, Yeşil Bina ve Sürdürülebilirlik"
24827,Ali,Öztürk,Teknoloji,"Web Geliştirme, Otomasyon ve Robotik, İnternet of Things (IoT)"
24828,Ayşe,Demir,Teknoloji,"Yazılım Geliştirme, Siber Güvenlik, Bulut Bilişim ve Büyük Veri"
24829,Ali,Demir,Mimar,"Parklar, Mimari Teori ve Eleştiri, Endüstriyel Tasarım"
24830,Elif,Karaduman,Mimar,"Yeşil Bina ve Sürdürülebilirlik, Ulaşım ve Altyapı Tasarımı, Ofis Yapıları"
24831,Seda,Karaduman,Müzik,"Metal Müzik, Halk Müziği, Elektronik Müzik"
24832,Ahmet,Kılıç,Teknoloji,"Mobil Uygulama Geliştirme, Oyun Geliştirme, İnternet of Things (IoT)"
24833,Ayşe,Aydın,Hukuk,"Uluslararası Hukuk ve Diplomasi, Medeni Hukuk ve Aile Hukuku, Ceza Hukuku ve Adli Yargı"
24834,Ahmet,Çelik,Sanat,"Resim ve Çizim, Dans ve Performans Sanatları, Film Yapımı ve Sinematografi"
24835,Fatma,Yıldız,Sağlık,"Yoga, Bitkisel Tedaviler, Psikoloji"
24836,Ali,Yılmaz,Hukuk,"Ceza Hukuku ve Adli Yargı, İş Hukuku ve İşçi Hakları, Medeni Hukuk ve Aile Hukuku"
24837,Emre,Yılmaz,Sanat,"Resim ve Çizim, Grafik Tasarım, Film Yapımı ve Sinematografi"
24838,Ahmet,Yıldız,Yemek,"Izgara Yemekler, Deniz Ürünleri, Geleneksel Mutfaklar"
24839,Ali,Kaya,Hukuk,"Uluslararası Hukuk ve Diplomasi, Ceza Hukuku ve Adli Yargı, Medeni Hukuk ve Aile Hukuku"
24840,Ahmet,Demir,Hukuk,"Medeni Hukuk ve Aile Hukuku, Uluslararası Hukuk ve Diplomasi, Ceza Hukuku ve Adli Yargı"
24841,Seda,Karaduman,Müzik,"Rap, Elektronik Müzik, Klasik Müzik"
24842,Emre,Şahin,Spor,"Tenis, Bisiklet, Yoga"
24843,Ahmet,Karaduman,Sağlık,"Bitkisel Tedaviler, Yoga, Meditasyon"
24844,Elif,Aydın,Spor,"Basketbol, Tenis, Yüzme"
24845,Ahmet,Karaduman,Spor,"Yoga, Yüzme, Yamaç Paraşütü"
24846,Mehmet,Şahin,Teknoloji,"Yapay Zeka ve Makine Öğrenimi, Otomasyon ve Robotik, Oyun Geliştirme"
24847,Ali,Karaduman,Teknoloji,"Siber Güvenlik, Mobil Uygulama Geliştirme, İnternet of Things (IoT)"
24848,Ahmet,Demir,Sağlık,"Psikoloji, Meditasyon, Bitkisel Tedaviler"
24849,Ahmet,Öztürk,Yemek,"İtalyan Mutfağı, Moleküler Gastronomi, Tatlı"
24850,Elif,Demir,Sağlık,"Bitkisel Tedaviler, Psikoloji, Meditasyon"
24851,Emre,Demir,Sanat,"Grafik Tasarım, Dans ve Performans Sanatları, Moda Tasarımı"
24852,Mehmet,Kaya,Hukuk,"Fikri Mülkiyet Hukuku, Çevre Hukuku ve Enerji Hukuku, İdare Hukuku ve Vergilendirme"
24853,Fatma,Kaya,Hukuk,"İdare Hukuku ve Vergilendirme, İş Hukuku ve İşçi Hakları, Fikri Mülkiyet Hukuku"
24854,Emre,Aydın,Teknoloji,"Oyun Geliştirme, Bulut Bilişim ve Büyük Veri, Otomasyon ve Robotik"
24855,Fatma,Çelik,Sağlık,"Diyet, Psikoloji, Yoga"
24856,Ahmet,Kılıç,Yemek,"Moleküler Gastronomi, Fransız Mutfağı, Vejetaryen Mutfak"
24857,Emre,Aydın,Edebiyat,"Çocuk Edebiyatı, Fantastik Kurgu, Drama"
24858,Mehmet,Yılmaz,Müzik,"Jazz Müzik, Pop Müzik, Metal Müzik"
24859,Ahmet,Karaduman,Mimar,"Endüstriyel Tasarım, Ofis Yapıları, Restorasyon"
24860,Ayşe,Kaya,Teknoloji,"Otomasyon ve Robotik, Mobil Uygulama Geliştirme, Bulut Bilişim ve Büyük Veri"
24861,Emre,Kaya,Yemek,"Kafein Kültürü, Moleküler Gastronomi, Geleneksel Mutfaklar"
24862,Mehmet,Öztürk,Sağlık,"Diyet, Bitkisel Tedaviler, Psikoloji"
24863,Mehmet,Aydın,Spor,"Fitness, Yüzme, Futbol"
24864,Elif,Öztürk,Müzik,"Halk Müziği, Jazz Müzik, Metal Müzik"
24865,Ayşe,Aydın,Hukuk,"Ticaret ve Şirket Hukuku, İdare Hukuku ve Vergilendirme, Gayrimenkul ve Emlak Hukuku"
24866,Fatma,Kılıç,Sanat,"Film Yapımı ve Sinematografi, Moda Tasarımı, Resim ve Çizim"
24867,Ahmet,Aydın,Sanat,"Fotoğrafçılık, Tiyatro ve Drama, Grafik Tasarım"
24868,Elif,Demir,Teknoloji,"İnternet of Things (IoT), Mobil Uygulama Geliştirme, Siber Güvenlik"
24869,Seda,Kılıç,Sanat,"Dans ve Performans Sanatları, Fotoğrafçılık, Moda Tasarımı"
24870,Ayşe,Demir,Edebiyat,"Şiir, Drama, Biyografi"
24871,Elif,Demir,Teknoloji,"Mobil Uygulama Geliştirme, Oyun Geliştirme, Siber Güvenlik"
24872,Mehmet,Öztürk,Teknoloji,"Mobil Uygulama Geliştirme, Web Geliştirme, Otomasyon ve Robotik"
24873,Ahmet,Demir,Yemek,"Geleneksel Mutfaklar, Izgara Yemekler, Tatlı"
24874,Ayşe,Çelik,Müzik,"Metal Müzik, Jazz Müzik, Klasik Müzik"
24875,Mehmet,Şahin,Hukuk,"Ceza Hukuku ve Adli Yargı, Ticaret ve Şirket Hukuku, İdare Hukuku ve Vergilendirme"
24876,Ahmet,Yılmaz,Teknoloji,"İnternet of Things (IoT), Web Geliştirme, Mobil Uygulama Geliştirme"
24877,Fatma,Kılıç,Teknoloji,"Otomasyon ve Robotik, Bulut Bilişim ve Büyük Veri, Veri Bilimi ve Analitik"
24878,Elif,Yıldız,Hukuk,"Ceza Hukuku ve Adli Yargı, Çevre Hukuku ve Enerji Hukuku, Ticaret ve Şirket Hukuku"
24879,Veli,Çelik,Mimar,"Ulaşım ve Altyapı Tasarımı, Endüstriyel Tasarım, Yapı Teknolojileri ve Malzemeler"
24880,Seda,Kaya,Yemek,"Kafein Kültürü, Izgara Yemekler, Fransız Mutfağı"
24881,Fatma,Şahin,Yemek,"Tatlı, Geleneksel Mutfaklar, Vejetaryen Mutfak"
24882,Ayşe,Karaduman,Teknoloji,"Oyun Geliştirme, Yazılım Geliştirme, Siber Güvenlik"
24883,Ali,Demir,Müzik,"Rock Müzik, Elektronik Müzik, Halk Müziği"
24884,Mehmet,Çelik,Sağlık,"Yoga, Meditasyon, Psikoloji"
24885,Veli,Yılmaz,Yemek,"Izgara Yemekler, Fransız Mutfağı, İtalyan Mutfağı"
24886,Ali,Kaya,Hukuk,"Medeni Hukuk ve Aile Hukuku, Gayrimenkul ve Emlak Hukuku, İş Hukuku ve İşçi Hakları"
24887,Ali,Aydın,Edebiyat,"Tarih, Roman Yazımı, Bilim Kurgu"
24888,Emre,Kaya,Sanat,"Film Yapımı ve Sinematografi, Dans ve Performans Sanatları, Fotoğrafçılık"
24889,Fatma,Aydın,Mimar,"Yeşil Bina ve Sürdürülebilirlik, Restorasyon, Yapı Teknolojileri ve Malzemeler"
24890,Ali,Aydın,Mimar,"Peyzaj Tasarımı, Restorasyon, Yeşil Bina ve Sürdürülebilirlik"
24891,Emre,Karaduman,Hukuk,"İş Hukuku ve İşçi Hakları, Gayrimenkul ve Emlak Hukuku, Uluslararası Hukuk ve Diplomasi"
24892,Fatma,Karaduman,Spor,"Voleybol, Fitness, Bisiklet"
24893,Fatma,Karaduman,Sanat,"Fotoğrafçılık, Resim ve Çizim, Dans ve Performans Sanatları"
24894,Ahmet,Aydın,Sanat,"Moda Tasarımı, Film Yapımı ve Sinematografi, Resim ve Çizim"
24895,Emre,Çelik,Müzik,"Elektronik Müzik, Klasik Müzik, Halk Müziği"
24896,Veli,Demir,Sağlık,"Psikoloji, Bitkisel Tedaviler, Diyet"
24897,Ahmet,Aydın,Edebiyat,"Drama, Felsefe, Şiir"
24898,Seda,Kaya,Edebiyat,"Tiyatro, Bilim Kurgu, Şiir"
24899,Veli,Yıldız,Teknoloji,"Yazılım Geliştirme, Bulut Bilişim ve Büyük Veri, Siber Güvenlik"
24900,Yusuf,Demir,Mimar,"İç Mekan Tasarımı, Restorasyon, Yapı Teknolojileri ve Malzemeler"
24901,Yusuf,Yıldız,Sağlık,"Diyet, Bitkisel Tedaviler, Yoga"
24902,Veli,Demir,Edebiyat,"Makale, Fantastik Kurgu, Felsefe"
24903,Elif,Karaduman,Mimar,"Ulaşım ve Altyapı Tasarımı, İç Mekan Tasarımı, Mimari Teori ve Eleştiri"
24904,Seda,Yılmaz,Hukuk,"Medeni Hukuk ve Aile Hukuku, Ceza Hukuku ve Adli Yargı, Çevre Hukuku ve Enerji Hukuku"
24905,Mehmet,Demir,Hukuk,"Fikri Mülkiyet Hukuku, Çevre Hukuku ve Enerji Hukuku, Uluslararası Hukuk ve Diplomasi"
24906,Yusuf,Yılmaz,Teknoloji,"Yapay Zeka ve Makine Öğrenimi, Oyun Geliştirme, İnternet of Things (IoT)"
24907,Mehmet,Karaduman,Sağlık,"Yoga, Diyet, Bitkisel Tedaviler"
24908,Fatma,Demir,Sanat,"Moda Tasarımı, Film Yapımı ve Sinematografi, Resim ve Çizim"
24909,Ahmet,Kaya,Yemek,"Izgara Yemekler, İtalyan Mutfağı, Vejetaryen Mutfak"
24910,Veli,Yıldız,Edebiyat,"Tarih, Biyografi, Tiyatro"
24911,Emre,Öztürk,Sanat,"Dans ve Performans Sanatları, Tiyatro ve Drama, Film Yapımı ve Sinematografi"
24912,Ali,Öztürk,Müzik,"Jazz Müzik, Rap, Klasik Müzik"
24913,Seda,Şahin,Teknoloji,"Otomasyon ve Robotik, Yapay Zeka ve Makine Öğrenimi, Web Geliştirme"
24914,Ahmet,Aydın,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Gayrimenkul ve Emlak Hukuku, İş Hukuku ve İşçi Hakları"
24915,Mehmet,Demir,Hukuk,"Gayrimenkul ve Emlak Hukuku, Uluslararası Hukuk ve Diplomasi, Çevre Hukuku ve Enerji Hukuku"
24916,Yusuf,Kılıç,Sanat,"Fotoğrafçılık, Tiyatro ve Drama, Moda Tasarımı"
24917,Mehmet,Aydın,Hukuk,"İdare Hukuku ve Vergilendirme, Ticaret ve Şirket Hukuku, Fikri Mülkiyet Hukuku"
24918,Ali,Yıldız,Sağlık,"Meditasyon, Diyet, Bitkisel Tedaviler"
24919,Fatma,Demir,Edebiyat,"Tiyatro, Felsefe, Şiir"
24920,Veli,Demir,Spor,"Bisiklet, Voleybol, Pilates"
24921,Yusuf,Şahin,Mimar,"Yeşil Bina ve Sürdürülebilirlik, Yapı Teknolojileri ve Malzemeler, Parklar"
24922,Ahmet,Çelik,Sanat,"Film Yapımı ve Sinematografi, Resim ve Çizim, Fotoğrafçılık"
24923,Yusuf,Yılmaz,Sanat,"Grafik Tasarım, Resim ve Çizim, Fotoğrafçılık"
24924,Ahmet,Yıldız,Mimar,"Ofis Yapıları, Yapı Teknolojileri ve Malzemeler, Restorasyon"
24925,Ayşe,Çelik,Müzik,"Elektronik Müzik, Metal Müzik, Jazz Müzik"
24926,Seda,Demir,Sağlık,"Diyet, Yoga, Psikoloji"
24927,Elif,Kaya,Edebiyat,"Çocuk Edebiyatı, Fantastik Kurgu, Biyografi"
24928,Mehmet,Yılmaz,Yemek,"Fransız Mutfağı, Geleneksel Mutfaklar, Kafein Kültürü"
24929,Yusuf,Çelik,Teknoloji,"Oyun Geliştirme, Bulut Bilişim ve Büyük Veri, Otomasyon ve Robotik"
24930,Fatma,Çelik,Müzik,"Rap, Halk Müziği, Pop Müzik"
24931,Yusuf,Yılmaz,Sanat,"Moda Tasarımı, Grafik Tasarım, Fotoğrafçılık"
24932,Ayşe,Çelik,Edebiyat,"Felsefe, Tiyatro, Biyografi"
24933,Veli,Şahin,Teknoloji,"İnternet of Things (IoT), Yapay Zeka ve Makine Öğrenimi, Otomasyon ve Robotik"
24934,Seda,Öztürk,Edebiyat,"Biyografi, Fantastik Kurgu, Bilim Kurgu"
24935,Mehmet,Kaya,Hukuk,"Ceza Hukuku ve Adli Yargı, Gayrimenkul ve Emlak Hukuku, İş Hukuku ve İşçi Hakları"
24936,Mehmet,Çelik,Müzik,"Elektronik Müzik, Rap, Klasik Müzik"
24937,Ali,Yıldız,Sağlık,"Meditasyon, Diyet, Bitkisel Tedaviler"
24938,Ali,Yıldız,Müzik,"Klasik Müzik, Pop Müzik, Rap"
24939,Yusuf,Karaduman,Edebiyat,"Şiir, Tiyatro, Roman Yazımı"
24940,Ahmet,Şahin,Teknoloji,"Otomasyon ve Robotik, Yazılım Geliştirme, Mobil Uygulama Geliştirme"
24941,Mehmet,Aydın,Edebiyat,"Çocuk Edebiyatı, Deneme, Şiir"
24942,Ahmet,Yıldız,Mimar,"Ulaşım ve Altyapı Tasarımı, Restorasyon, Endüstriyel Tasarım"
24943,Emre,Aydın,Mimar,"Ulaşım ve Altyapı Tasarımı, Peyzaj Tasarımı, Yapı Teknolojileri ve Malzemeler"
24944,Fatma,Karaduman,Mimar,"Mimari Teori ve Eleştiri, Peyzaj Tasarımı, Yeşil Bina ve Sürdürülebilirlik"
24945,Fatma,Yılmaz,Sanat,"Grafik Tasarım, Tiyatro ve Drama, Dans ve Performans Sanatları"
24946,Fatma,Yılmaz,Teknoloji,"Bulut Bilişim ve Büyük Veri, Oyun Geliştirme, Veri Bilimi ve Analitik"
24947,Mehmet,Aydın,Müzik,"Halk Müziği, Rap, Metal Müzik"
24948,Seda,Kılıç,Müzik,"Elektronik Müzik, Metal Müzik, Halk Müziği"
24949,Fatma,Şahin,Sanat,"Moda Tasarımı, Grafik Tasarım, Resim ve Çizim"
24950,Veli,Kaya,Spor,"Voleybol, Fitness, Tenis"
24951,Veli,Aydın,Sanat,"Tiyatro ve Drama, Grafik Tasarım, Moda Tasarımı"
24952,Ayşe,Şahin,Hukuk,"İdare Hukuku ve Vergilendirme, Fikri Mülkiyet Hukuku, Medeni Hukuk ve Aile Hukuku"
24953,Seda,Öztürk,Spor,"Tenis, Futbol, Yamaç Paraşütü"
24954,Ahmet,Yıldız,Yemek,"Geleneksel Mutfaklar, Tatlı, İtalyan Mutfağı"
24955,Seda,Çelik,Sağlık,"Bitkisel Tedaviler, Psikoloji, Yoga"
24956,Emre,Öztürk,Yemek,"Fransız Mutfağı, Vejetaryen Mutfak, İtalyan Mutfağı"
24957,Fatma,Şahin,Sanat,"Moda Tasarımı, Film Yapımı ve Sinematografi, Tiyatro ve Drama"
24958,Fatma,Aydın,Sanat,"Resim ve Çizim, Moda Tasarımı, Dans ve Performans Sanatları"
24959,Veli,Yıldız,Müzik,"Klasik Müzik, Elektronik Müzik, Rap"
24960,Veli,Aydın,Mimar,"Peyzaj Tasarımı, Yapı Teknolojileri ve Malzemeler, İç Mekan Tasarımı"
24961,Seda,Demir,Mimar,"Ulaşım ve Altyapı Tasarımı, Ofis Yapıları, Mimari Teori ve Eleştiri"
24962,Ali,Demir,Teknoloji,"Veri Bilimi ve Analitik, Web Geliştirme, Yazılım Geliştirme"
24963,Mehmet,Aydın,Müzik,"Halk Müziği, Rock Müzik, Klasik Müzik"
24964,Seda,Karaduman,Teknoloji,"Siber Güvenlik, Web Geliştirme, Otomasyon ve Robotik"
24965,Ali,Kılıç,Edebiyat,"Roman Yazımı, Tiyatro, Drama"
24966,Seda,Yıldız,Müzik,"Rap, Elektronik Müzik, Klasik Müzik"
24967,Yusuf,Aydın,Müzik,"Elektronik Müzik, Klasik Müzik, Pop Müzik"
24968,Mehmet,Şahin,Yemek,"Geleneksel Mutfaklar, Kafein Kültürü, Deniz Ürünleri"
24969,Yusuf,Kaya,Hukuk,"Fikri Mülkiyet Hukuku, İdare Hukuku ve Vergilendirme, Ticaret ve Şirket Hukuku"
24970,Elif,Kılıç,Sağlık,"Meditasyon, Psikoloji, Diyet"
24971,Seda,Çelik,Yemek,"Geleneksel Mutfaklar, Kafein Kültürü, Izgara Yemekler"
24972,Veli,Aydın,Sağlık,"Psikoloji, Yoga, Diyet"
24973,Fatma,Öztürk,Teknoloji,"Oyun Geliştirme, Otomasyon ve Robotik, Veri Bilimi ve Analitik"
24974,Emre,Çelik,Müzik,"Rap, Jazz Müzik, Klasik Müzik"
24975,Elif,Karaduman,Müzik,"Elektronik Müzik, Rap, Metal Müzik"
24976,Seda,Yılmaz,Mimar,"Peyzaj Tasarımı, Ulaşım ve Altyapı Tasarımı, Yeşil Bina ve Sürdürülebilirlik"
24977,Elif,Kılıç,Edebiyat,"Drama, Felsefe, Şiir"
24978,Veli,Şahin,Sanat,"Grafik Tasarım, Tiyatro ve Drama, Fotoğrafçılık"
24979,Fatma,Karaduman,Mimar,"Mimari Teori ve Eleştiri, Yapı Teknolojileri ve Malzemeler, Endüstriyel Tasarım"
24980,Ali,Şahin,Yemek,"Deniz Ürünleri, Kafein Kültürü, Moleküler Gastronomi"
24981,Ali,Öztürk,Teknoloji,"Bulut Bilişim ve Büyük Veri, Oyun Geliştirme, Yapay Zeka ve Makine Öğrenimi"
24982,Mehmet,Çelik,Edebiyat,"Bilim Kurgu, Felsefe, Tiyatro"
24983,Veli,Kılıç,Sağlık,"Meditasyon, Bitkisel Tedaviler, Psikoloji"
